,symbol,T,bte_3
471,SSr,850,3.176797086
472,SSr,900,3.000174144
473,SSr,950,2.816942138
474,SSr,1000,2.700030457
475,AlAs,100,247.3107135
476,AlAs,150,143.9783582
477,AlAs,200,102.4730558
478,AlAs,250,80.0040377
479,AlAs,300,65.80196654
480,AlAs,350,55.96269012
481,AlAs,400,48.72195412
482,AlAs,450,43.16057669
483,AlAs,500,38.75017398
484,AlAs,550,35.16438932
485,AlAs,600,32.1902953
486,AlAs,650,29.68283227
487,AlAs,700,27.53965281
488,AlAs,750,25.68642041
489,AlAs,800,24.06780802
490,AlAs,850,22.64176818
491,AlAs,900,21.37576325
492,AlAs,950,20.24421402
493,AlAs,1000,19.22672966
494,AsCaNa,100,20.73956104
495,AsCaNa,150,13.62696878
496,AsCaNa,200,10.24969176
497,AsCaNa,250,8.22855614
498,AsCaNa,300,6.876055623
499,AsCaNa,350,5.906047562
500,AsCaNa,400,5.176027925
501,AsCaNa,450,4.60664247
502,AsCaNa,500,4.150099538
503,AsCaNa,550,3.77587098
504,AsCaNa,600,3.463534794
505,AsCaNa,650,3.198910146
506,AsCaNa,700,2.971841459
507,AsCaNa,750,2.77486449
508,AsCaNa,800,2.602370071
509,AsCaNa,850,2.450061486
510,AsCaNa,900,2.314591812
511,AsCaNa,950,2.193315227
512,AsCaNa,1000,2.084112571
513,BiLiS2,100,2.182714096
514,BiLiS2,150,1.340190234
515,BiLiS2,200,0.9825203123
516,BiLiS2,250,0.7792024885
517,BiLiS2,300,0.6466838955
518,BiLiS2,350,0.5530801694
519,BiLiS2,400,0.4833140242
520,BiLiS2,450,0.4292571124
521,BiLiS2,500,0.3861180525
522,BiLiS2,550,0.3508817595
523,BiLiS2,600,0.3215531811
524,BiLiS2,650,0.2967583398
525,BiLiS2,700,0.2755195372
526,BiLiS2,750,0.2571218189
527,BiLiS2,800,0.2410301261
528,BiLiS2,850,0.2268359846
529,BiLiS2,900,0.2142221171
530,BiLiS2,950,0.2029383108
531,BiLiS2,1000,0.1927845718
532,BiNaSe2,100,2.922868604
533,BiNaSe2,150,1.908686282
534,BiNaSe2,200,1.424413909
535,BiNaSe2,250,1.137689256
536,BiNaSe2,300,0.9475180127
537,BiNaSe2,350,0.8119953561
538,BiNaSe2,400,0.7104685794
539,BiNaSe2,450,0.6315487109
540,BiNaSe2,500,0.5684309366
541,BiNaSe2,550,0.5167958262
542,BiNaSe2,600,0.4737683206
543,BiNaSe2,650,0.4373600355
544,BiNaSe2,700,0.406151656
545,BiNaSe2,750,0.3791028187
546,BiNaSe2,800,0.3554334828
547,BiNaSe2,850,0.3345472621
548,BiNaSe2,900,0.3159803565
549,BiNaSe2,950,0.2993666342
550,BiNaSe2,1000,0.2844131991
551,CBe2,100,1059.870412
552,CBe2,150,286.4063076
553,CBe2,200,162.2463428
554,CBe2,250,118.9527837
555,CBe2,300,96.95647977
556,CBe2,350,83.10597308
557,CBe2,400,73.23236455
558,CBe2,450,65.66321063
559,CBe2,500,59.59597671
560,CBe2,550,54.58796513
561,CBe2,600,50.367825
562,CBe2,650,46.75583768
563,CBe2,700,43.6260765
564,CBe2,750,40.88658143
565,CBe2,800,38.46807857
566,CBe2,850,36.31711398
567,CBe2,900,34.39164164
568,CBe2,950,32.65806304
569,CBe2,1000,31.08917076
570,Cl2Sr,100,6.132907365
571,Cl2Sr,150,4.055746297
572,Cl2Sr,200,3.043859905
573,Cl2Sr,250,2.438390412
574,Cl2Sr,300,2.03437945
575,Cl2Sr,350,1.745385388
576,Cl2Sr,400,1.528345291
577,Cl2Sr,450,1.359338602
578,Cl2Sr,500,1.22399962
579,Cl2Sr,550,1.113175445
580,Cl2Sr,600,1.020756671
581,Cl2Sr,650,0.9425088756
582,Cl2Sr,700,0.8754043328
583,Cl2Sr,750,0.8172206484
584,Cl2Sr,800,0.7662896426
585,Cl2Sr,850,0.721334702
586,Cl2Sr,900,0.6813622449
587,Cl2Sr,950,0.6455873957
588,Cl2Sr,1000,0.6133819155
589,CoNbSn,100,62.82300133
590,CoNbSn,150,38.67797885
591,CoNbSn,200,28.42383127
592,CoNbSn,250,22.59335643
593,CoNbSn,300,18.78878584
594,CoNbSn,350,16.09715806
595,CoNbSn,400,14.08754875
596,CoNbSn,450,12.52782938
597,CoNbSn,500,11.28116763
598,CoNbSn,550,10.26141288
599,CoNbSn,600,9.411512006
600,CoNbSn,650,8.692133095
601,CoNbSn,700,8.075257641
602,CoNbSn,750,7.540373843
603,CoNbSn,800,7.072114035
604,CoNbSn,850,6.658733595
605,CoNbSn,900,6.291100549
606,CoNbSn,950,5.962006063
607,CoNbSn,1000,5.665682701
608,F3KZn,100,8.83535254
609,F3KZn,150,5.886644464
610,F3KZn,200,4.451342943
